DATE,TIME,TEMPERATURE,HUMIDITY,CO2,CO,RAIN,DUST,EVALUATE
12/2/2025,09:32:11,30.10,72.50,27.00,37.00,HEAVY_RAIN,0.00,Good
12/2/2025,09:16:59,30.20,71.00,27.00,37.00,HEAVY_RAIN,0.00,Good
12/2/2025,09:08:42,30.20,69.40,27.00,37.00,HEAVY_RAIN,0.00,Good
12/2/2025,09:08:31,30.20,69.40,28.00,38.00,HEAVY_RAIN,196.48,Hazardous
12/2/2025,09:01:49,30.00,70.10,30.00,38.00,HEAVY_RAIN,0.00,Good
12/2/2025,09:01:05,30.10,70.00,30.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,09:00:52,30.00,70.00,31.00,41.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:59:36,30.00,70.20,30.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:59:26,30.00,70.20,31.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:59:03,30.00,70.20,31.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:58:52,30.00,70.10,31.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:58:12,30.00,70.20,30.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:58:00,30.00,70.30,31.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:57:49,30.00,70.30,33.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:57:38,30.00,70.30,32.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:57:09,30.00,70.30,32.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:56:58,30.00,70.30,31.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:56:38,30.00,70.30,30.00,39.00,HEAVY_RAIN,0.00,Good
12/2/2025,08:56:27,30.00,70.30,33.00,40.00,HEAVY_RAIN,0.00,Moderate
12/2/2025,08:56:11,30.00,70.40,33.00,39.00,HEAVY_RAIN,0.00,Good
